season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_NYJ_DET,2026-09-27,00-0037755,Jelani Woods,TE,NYJ,DET,0,6.5,47.5,20.5,5.0,False,0.28,0.29000000000000004,0.26,,,36,2,0.71,-0.27,1.87,0.71,,upcoming,,half_ppr,fp_roll=0 (-0.7); fp_season_avg=0 (-0.6); depth_rank_filled=5 (-0.2)
2026,3,2026_03_ATL_GB,2026-09-24,00-0040948,J. Michael Sturdivant,WR,GB,ATL,1,4.5,43.5,24.0,6.0,False,0.15,0.15,0.15,,,2,2,0.71,-0.27,1.87,0.71,,played,3.7,half_ppr,depth_rank_filled=6 (-1.4); fp_roll=0 (-0.6); snap_pct_last=0.15 (-0.4)
2026,3,2026_03_SEA_WAS,2026-09-27,00-0041117,Athan Kaliakmanis,QB,WAS,SEA,1,-7.5,40.5,16.5,3.0,False,0.0,0.0,0.0,,,2,2,0.7,-0.28,1.86,0.7,,upcoming,,half_ppr,fp_roll=0 (-0.5); implied_team_total=16.5 (+0.4); fp_season_avg=0 (-0.4)
2026,3,2026_03_ARI_SF,2026-09-27,00-0038643,Brayden Willis,TE,SF,ARI,1,8.5,47.5,28.0,3.0,False,0.25,0.09000000000000001,0.25,,,37,1,0.7,-0.28,1.86,0.7,,upcoming,,half_ppr,fp_roll=0 (-0.7); fp_season_avg=0 (-0.6); injury_analog_delta=-1.78 (-0.2)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0041056,Cade Klubnik,QB,NYJ,DET,0,6.5,47.5,20.5,2.0,False,0.0,0.0,0.0,,,2,2,0.7,-0.28,1.86,0.7,,upcoming,,half_ppr,fp_roll=0 (-0.9); position_code=0 (-0.9); fp_season_avg=0 (-0.3)
2026,3,2026_03_ATL_GB,2026-09-24,00-0028118,Tyrod Taylor,QB,GB,ATL,1,4.5,43.5,24.0,2.0,True,0.1,0.7000000000000001,0.0,,,157,2,0.69,-0.29,1.85,0.69,,played,0.0,half_ppr,fp_roll=0 (-0.8); position_code=0 (-0.8); fp_season_avg=0 (-0.3)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0034959,Andrew Beck,RB,NYJ,DET,0,6.5,47.5,20.5,4.0,False,0.05,0.14333333333333334,0.09,,,9,0,0.69,-0.29,1.85,0.69,,upcoming,,half_ppr,fp_roll=0 (-0.6); depth_rank_filled=4 (-0.6); fp_season_avg=0 (-0.4)
2026,3,2026_03_ARI_SF,2026-09-27,00-0036646,Simi Fehoko,WR,ARI,SF,0,8.5,47.5,19.5,5.0,False,0.12,0.16000000000000003,0.1,,,48,2,0.69,-0.29,1.85,0.69,,upcoming,,half_ppr,depth_rank_filled=5 (-1.2); fp_roll=0 (-0.6); snap_pct_last=0.12 (-0.4)
2026,3,2026_03_NE_JAX,2026-09-27,00-0038564,Cameron Latu,TE,NE,JAX,0,3.0,46.5,21.75,3.0,False,0.25,0.18333333333333335,0.125,,,18,2,0.69,-0.29,1.85,0.69,,upcoming,,half_ppr,fp_roll=0 (-0.7); fp_season_avg=0 (-0.6); injury_analog_delta=-1.78 (-0.2)
2026,3,2026_03_NE_JAX,2026-09-27,00-0038476,Tommy DeVito,QB,NE,JAX,0,3.0,46.5,21.75,2.0,False,0.0,0.0,0.0,,,48,2,0.68,-0.3,1.84,0.68,,upcoming,,half_ppr,fp_roll=0 (-0.9); position_code=0 (-0.9); fp_season_avg=0 (-0.3)
